name,isotherm_filename,hashkey,temperature,csd_identifier,doi,molecular_formula,has_disorder
(Et2NH2)3[(Cu4Cl)3(TTCA)8],,NIST-MATDB-698d87ea3dc222af53aca3746f3227d3,,REGYOT,10.1039/c2cc35461f,"(C168 H72 Cl3 Cu12 O48 3-)n,26n(C5 H11 N1 O1),3n(C4 H12 N1 1+)",1.0
(H3O)4[Ni6(pi3-O)2(pi2-OSC2H6)2(SO4)2(TATB)8/3].4C2H6O.13H2O,,NIST-MATDB-ee36b2a9095ec91288836a44edfdc823,,UGODEB,10.1021/acs.inorgchem.5b00316,"(C102 H66 N12 Ni9 O42 S6 6-)n,6n(H3 O1 1+),6n(C2 H6 O1),19.5n(H2 O1)",1.0
(In3O)(OH)(ADC)2(IN)2*4.67H2O,,NIST-MATDB-e0f1ea383b8b290ca83fb4c214ff9cf0,,KACZEV,10.1039/c0cc02808h,"(C120 H75 In9 N18 O42)n,14n(H2 O1)",1.0
(Me2NH2)2(DMF)9(H2O)5,,NIST-MATDB-0fc6fe0e88747d6206743f79868a947c,,DEYMOL,10.1021/ic302583a,"(C37 H20 In2 O20 2-)n,2n(C2 H8 N1 1+),9n(C3 H7 N1 O1),5n(H2 O1)",1.0
(NH2(CH3)2)3[Zn6(BTC)4(BTB)],,NIST-MATDB-1e1291030fcd194b53599b4d457548d1,,SIJDUM,10.1039/c3ce40929e,"(C63 H27 O30 Zn6 3-)n,3n(C2 H8 N1 1+)",1.0
(me2NH2)6[In10(TTCA)12]*24DMF*15H2O,,NIST-MATDB-dc1f4b7ddd96245d3704815ee72b638d,,WUBWUN,10.1021/ic501413r,,
"2,4,6-tris-(4-carboxyphenoxy)-1,3,5-triazine (H3tcpt)",,NIST-MATDB-9e095580c7def92493b44834013f53af,,RUSCUF,10.1039/c5dt01770j,(C24 H13 N3 O10 Zn2)n,1.0
3Inf[(Cu(mu4-O)(mu2-OH)2(Me2trzpba)4],,NIST-MATDB-eac31584ad49217cba58bde85c79de24,,MALFUD,10.1016/j.micromeso.2010.11.017,"(C44 H42 Cu4 N12 O11)n,10n(H2 O1)",1.0
467-MOF,,NIST-MATDB-4c5fc9ec0f07f55545f660abeabc296d,,YUQDUL,10.1002/chem.201502615,(C54 H33 Al3 O21)n,1.0
Al-BDC,,NIST-MATDB-cce03d7a2de79334704ac30e9b3ab673,,SABVUN,,,
Al-soc-MOF-1,,NIST-MATDB-3a650ab57f585098f15b7607aeb8fdb6,,,,,
Al-soc-MOF-1d,,NIST-MATDB-cd7853a0fd2fae367334f38213532022,,,,,
Al-soc-MOF-2,,NIST-MATDB-e43a6f6e6a693f59f9f85922f0cbcfdb,,MUZKEZ,10.1021/jacs.5b07053,"(C138 H90 Al6 O32 2+)n,2n(Cl1 1-)",1.0
Al-soc-MOF-3,,NIST-MATDB-af8a5b6c70b03db7ea3aa79b523f5981,,MUZKAV,10.1021/jacs.5b07053,"(C150 H96 Al6 O32 2+)n,2n(Cl1 1-)",1.0
Amine-MIL-101(Cr),,NIST-MATDB-8b8ec78ea74003b46e02c61002f73655,,,,,
Amino-MIL-53(Al),,NIST-MATDB-3589fd4b77aac447a6a6c0f6f7cc67ab,,NAXLEF,10.1002/cssc.201100378,(C8 H5 Al1 N1 O5)n,0.0
Beta-[{Co(F-pymo)2}n],,NIST-MATDB-e39d4856fb4eb22bcc744a36b84ab9c1,,XOJCEF,10.1002/chem.200801048,(C16 H8 Co2 F4 N8 O4)n,0.0
Beta-[{Zn(F-pymo)2}n],,NIST-MATDB-00e77b7864c973ea6e0989974761c308,,XOJCOP,10.1002/chem.200801048,(C8 H4 F2 N4 O2 Zn1)n,0.0
C10H5MnN3O4,,NIST-MATDB-f69ed813b38de6ebad057c3012a3aabe,,UVEVAT,10.1039/c1cc12278a,(C10 H5 Mn1 N3 O4)n,1.0
C12H6O13Zn4,,NIST-MATDB-b01f3e5a174eb1bd8c260fc27f9ba4ba,,XOZXOA,10.1021/ic900486r,(C12 H7 O13 Zn4)n,1.0
C17H27CoN3O7.50,,NIST-MATDB-45f6d98bc7ed053c7d12979e1027b5de,,DIZVAK,10.1002/zaac.200700580,"(C22 H20 Co2 N2 O8)n,4n(C3 H7 N1 O1),3n(H2 O1)",1.0
C18H16N2NiO6.5,,NIST-MATDB-a90af2f6523476761c9c35a6bd39896b,,WARQOX,10.1039/c2dt12198k,"(C36 H26 N4 Ni2 O10)n,4n(H2 O1)",1.0
C26H8Cu2N2O12,,NIST-MATDB-1c8c5285a706062eabfdae03e3a3e79c,,ALAMUW,10.1002/chem.201002135,"(C32 H22 Cu2 N4 O14)n,n(C3 H7 N1 O1),n(H2 O1)",1.0
C28H39N5O16Cu2,,NIST-MATDB-882638acaeec81061a4c473755e4901d,,FATLUJ,10.1021/cg201594p,"(C28 H26 Cu2 N5 O10)n,6n(H2 O1)",0.0
C32H34N4O15Cl5Zn3,,NIST-MATDB-db976ae0455d77a29d5ea4a2f428eabc,,LUPYAX,10.1039/b927486c,(C64 H68 Cl10 N8 O30 Zn6)n,1.0
C36H24Cu3N13O12,,NIST-MATDB-020667879dbefe5573dc639d5cba61d4,,QUJLAK02,10.1021/acs.inorgchem.5b00561,"(C36 H25 Cu3 N12 O9 1+)n,n(N1 O3 1-)",1.0
C37H90Cu4O55,,NIST-MATDB-ce1e82df74ccd9c549e14591c9562a34,,FECXES,10.1039/c2jm15538a,"(C37 H28 Cu4 O24)n,31n(H2 O1)",1.0
C41H46Cu2N2O16,,NIST-MATDB-775989e265743b13d867361d999255f8,,CUYWUP,10.1039/b925903a,"(C33 H28 Cu2 O14)n,2n(C4 H9 N1 O1)",1.0
C43.7H10Mn2N6O8,,NIST-MATDB-19c69bb8a592464ef0f7ffe8b79d7238,,,,,
C48H34N18O12S2Zn5,,NIST-MATDB-0a92892de06530653b3845386ee15674,,FUSTUK,10.1021/ic1010083,"(C48 H30 N18 O9 S2 Zn5)n,15n(C3 H7 N1 O1),8n(H2 O1)",1.0
C50H22Cu3O15,,NIST-MATDB-3225e6e13cd2934089cb853b7066a511,,OGOJAX,10.1002/cplu.201500104,(C50 H28 Cu3 O15)n,1.0
