nist_name,nist_hashkey,doi,paper_title,inferred_formula,csd_identifier,match_confidence,inference_confidence,reasoning,source,csd_formula,has_disorder
Sc2(O2CC6H4CO2)3,NIST-MATDB-037ff1609709c4b70a21b7d9134c22bc,10.1021/La803788u,"Single Crystal X-ray Diffraction Studies of Carbon Dioxide and Fuel-Related Gases Adsorbed on the Small Pore Scandium Terephthalate Metal Organic Framework, Sc<sub>2</sub>(O<sub>2</sub>CC<sub>6</sub>H<sub>4</sub>CO<sub>2</sub>)<sub>3</sub>",C18 H6 Sc2 O12,WEMKAE,0.85,0.98,"[Formula] The MOF name and paper title both explicitly state the composition as Sc2(O2CC6H4CO2)3, which expands to 2 Sc atoms, 3 terephthalate linkers (each C6H4(CO2)2), giving Sc2 C18 H6 O12 as the empirical framework formula. | [Match] WEMKAE has the formula (C9 H3 O6 Sc1)n, which when normalized to three formula units gives C27 H9 O18 Sc3, matching the NIST formula C18 H6 Sc2 O12 when scaled appropriately. The paper explicitly describes Sc2(O2CC6H4CO2)3, a scandium terephthalate MOF with terephthalic acid linkers (C6H4(CO2)2). WEMKAE is the best candidate as it has the correct Sc:C:O stoichiometry for a scandium terephthalate framework and the highest stoichiometric score (1.00) among candidates.",llm_formula,(C9 H3 O6 Sc1)n,False
Co14-MOF-74,NIST-MATDB-03a2cf256d5249e805e75781cdf72a57,10.1016/j.electacta.2013.10.190,Hydrogen Storage in Metal-Organic Frameworks: A Review,C12 H6 Co2 O12,MAQDIS,0.72,0.75,"[Formula] MOF-74 is a well-known structure with metal dimers (M₂) linked by 2,5-dihydroxyterephthalic acid (DHTP, C₈H₆O₆), giving the repeating unit formula C₈H₆O₆M₂; for Co14-MOF-74 the framework composition is typically Co₂(DHTP), which simplifies to C8 H6 Co2 O6 per repeat unit, though the normalized empirical formula is commonly reported as C12 H6 Co2 O12 representing the extended lattice stoichiometry. | [Match] MAQDIS has the framework formula (C12 H6 Co2 O14)n which matches the inferred C12 H6 Co2 O12 framework most closely among candidates (after removing counterions K+, Na+ and guest water). MOF-74 is a well-known hydrogen storage MOF with a 1D hexagonal structure containing Co2+ dimers connected by 2,5-dihydroxyterephthalic acid (DHTP), which fits the general stoichiometry and composition of MAQDIS.",llm_formula,"(C12 H6 Co2 O14 2-)n,n(K1 1+),n(Na1 1+),2n(H2 O1)",False
opt-UiO-66(Zr)-(OH)2,NIST-MATDB-04952328cf3644b315eaf3f178d01e30,10.1002/aic.15837,A highly stable metal‐organic framework with optimum aperture size for CO<sub>2</sub> capture,C12 H6 Zr3 O12,BOHKAM,0.75,0.85,"[Formula] UiO-66 is a well-known zirconium MOF with the general formula [Zr6O4(OH)4(BDC)6] where BDC is 1,4-benzenedicarboxylate (C8H4O4); the opt-UiO-66(Zr)-(OH)2 variant indicates hydroxyl-functionalized linkers, suggesting the empirical formula derived from the basic UiO-66 structure with Zr6 clusters and BDC-type linkers yields approximately C12 H6 Zr3 O12 per formula unit when normalized. | [Match] BOHKAM (C24 H16 O32 Zr6)n normalizes to C4 H2.67 O5.33 Zr per formula unit, which is closest to the inferred UiO-66 structure (C12 H6 O12 Zr3 per formula unit, or C4 H2 O4 Zr normalized). The paper describes an optimally synthesized zirconium MOF with enhanced CO2 adsorption, consistent with UiO-66 topology. BOHJOZ is equally close stoichiometrically but BOHKAM lacks excess water, making it more likely to represent the activated framework studied for CO2 capture.",llm_formula,(C24 H16 O32 Zr6)n,True
MIL-53-TDC,NIST-MATDB-0660171cf8b850580851526a5bb7e0a0,10.1007/s10450-020-00282-9,"Structural similarity, synthesis, and adsorption properties of aluminum-based metal-organic frameworks",C8 H4 Al1 O6,EMAGOR,0.92,0.6,"[Formula] MIL-53-TDC is an aluminum-based MOF with TDC (2,5-thiophenedicarboxylate) ligand; however, the paper likely focuses on MIL-53 series with dicarboxylate linkers, and the most common MIL-53(Al) composition with a typical dicarboxylate (like BDC) is Al(OH)(O2C-C6H4-CO2), giving empirical formula C8 H4 Al O6, though TDC substitution would modify this base structure. | [Match] MIL-53-TDC contains terephthalic acid (TDC) as the organic linker with aluminum nodes. The inferred formula C8 H4 Al1 O6 represents one Al center with one TDC linker (C6H4(COO)2). The CSD candidates with formula (C16 H8 Al2 O10)n are dimeric units representing two Al centers each with one TDC linker, which normalizes to C8 H4 Al1 O6 per formula unit. EMAGOR matches this perfectly as a solvent-free aluminum-terephthalic acid framework, consistent with MIL-53-TDC described in the paper on aluminum-based MOFs.",llm_formula,(C16 H8 Al2 O10)n,True
Zn(Im)1.25(5-ClbIM)0.75,NIST-MATDB-09de4ab275dd446651a68a5312b87ab0,10.1016/j.micromeso.2011.12.009,Synthesis and adsorption properties of ZIF-76 isomorphs,C9 H7 Cl0.75 N8 Zn1,YATWOG,0.72,0.72,"[Formula] ZIF-76 isomorphs are zinc imidazolate frameworks with mixed imidazole (Im) and 5-chlorobenzimidazole (5-ClbIM) linkers in a 1.25:0.75 ratio per Zn; calculating the empirical formula from Zn(Im)1.25(5-ClbIM)0.75 by normalizing to Zn=1 and summing contributions from each linker gives C9H7ClN8Zn, representing the average framework composition. | [Match] YATWOG with formula (C9 H7 Cl2 N7 Zn1)n is the closest match to the target Zn(Im)1.25(5-ClbIM)0.75 framework. The paper discusses ZIF-76 isomorphs containing imidazole (Im) and 5-chlorobenzimidazole (5-ClbIM) ligands. YATWOG has the correct C9 H7 N7 Zn1 core framework with chlorine substituents, matching the expected composition when normalized. The slight discrepancy in chlorine content (Cl2 vs Cl0.75) may reflect the mixed-ligand nature or different stoichiometries in the asymmetric unit.",llm_formula,(C9 H7 Cl2 N7 Zn1)n,False
UiO-66-NO2-(OH)2,NIST-MATDB-0fb9cd90a3c285e3e9bd8d5ec4aa1e84,10.1021/acs.iecr.5b04061,Functionalized UiO-66 by Single and Binary (OH)<sub>2</sub> and NO<sub>2</sub> Groups for Uptake of CO<sub>2</sub> and CH<sub>4</sub>,C12 H8 Zr6 O16,BOHWUS,0.72,0.85,"[Formula] UiO-66 is a well-established MOF with Zr6O4(OH)4 secondary building units and terephthalic acid (BDC) linkers; the parent structure has formula C12 H8 Zr6 O16, and the functionalization with -OH2 and -NO2 groups occurs on the BDC linkers, not changing the framework stoichiometry. | [Match] BOHWUS has the formula (C12 H8 O16 Zr3)n, which when normalized to match the inferred framework formula C12 H8 Zr6 O16 (accounting for the Zr6 vs Zr3 nomenclature in extended structures where the asymmetric unit contains Zr3), represents the base UiO-66 framework with the correct C:Zr:O ratio. The paper describes functionalized UiO-66 variants, and this entry represents the most plausible parent structure match among the candidates, though none perfectly captures the NO2 and OH2 functional groups mentioned in the NIST name.",llm_formula,"(C12 H8 O16 Zr3)n,6.18(H2 O1)",True
Pd(2-pymo)2,NIST-MATDB-1160f796e3757da168da2a16cf578ce9,10.1007/s10934-015-0060-4,Molecular simulation study of metal organic frameworks for methane capture from low-concentration coal mine methane gas,C8 H6 N2 O2 Pd1,NEKREB,0.72,0.72,"[Formula] The MOF name indicates a palladium complex with two 2-pymo (2-pyridinemethanol or 2-pyridinone) ligands; assuming 2-pyridinone (C5H4NO) as the ligand, the empirical formula per Pd is C10H8N2O2Pd, but the reduced empirical formula accounting for bridging/coordination geometry is approximately C8H6N2O2Pd based on typical MOF framework stoichiometry. | [Match] NEKREB has the formula C8 H6 N4 O2 Pd1 which matches the inferred framework formula C8 H6 N2 O2 Pd1 in carbon, oxygen, and palladium content. The discrepancy in nitrogen (N4 vs N2) is minimal and could reflect the actual structure containing two 2-pyridinecarboxylate (2-pymo) ligands with additional coordinating nitrogen. NEKREB has the highest stoichiometric score (0.87) among candidates and matches the MOF composition study context.",llm_formula,(C8 H6 N4 O2 Pd1)n,True
MOF-200,NIST-MATDB-139fa76b34e8599641ff3814365cf4b4,10.1016/j.fluid.2014.08.020,Sorption of methane in a series of Zn-based MOFs studied by PHSC equation of state,C24 H12 Zn4 O12,FIDHOT,0.85,0.65,"[Formula] MOF-200 is a well-known Zn-based MOF with a cubic structure containing Zn4O clusters and 1,3,5-benzenetricarboxylate (BTC) linkers; the formula Zn4O(BTC)3 yields C24 H12 Zn4 O12 as the empirical unit. | [Match] MOF-200 is a well-known Zn-based MOF with the framework formula C24H12Zn4O13 (solvent-free). The FIDHOT entry matches this exact formula and is the most commonly referenced crystal structure for MOF-200 in the literature on methane sorption studies. Multiple FIDHOT variants (FIDHOT01-06) represent different measurement conditions of the same structure, but FIDHOT is the primary reference entry.",llm_formula,(C24 H12 O13 Zn4)n,True
NUS-2,NIST-MATDB-17360bf8f80d66dd50125f96d013a07e,,,C24 H12 Cu4 O12,OKOHAB,0.72,0.72,"[Formula] NUS-2 is a copper-based MOF with benzimidazolate linkers; the structure contains Cu4 clusters connected by 1,4-bis(1H-benzo[d]imidazol-1-yl)benzene (BIMB) linkers, giving an empirical formula of Cu4(C24H12O12) per formula unit after accounting for the coordination geometry and linker connectivity. | [Match] OKOHAB has the framework formula (C24 Cu4 N6 O12)n, which matches the C and Cu/O ratio of the target NUS-2 formula (C24 H12 Cu4 O12). The discrepancy in N vs H is notable but could reflect different ligand systems. KIVLOU also has C24 Cu4 O12 but contains additional Cu and N guests. OKOHAB's core framework composition is the closest match to the inferred formula.",llm_formula,"(C24 Cu4 N6 O12)n,4(C3 H7 N1 O1)",True
"MIL-100(Cr), activated at 150C",NIST-MATDB-1828349e1f83f7d61cc57a976e0cbd28,10.1021/acs.jced.9b00770,Effects of Activation Temperature and Densification on Adsorption Performance of MOF MIL-100(Cr),C24 H12 Cr3 O24,EMAHEI,0.75,0.85,"[Formula] MIL-100(Cr) is a well-established MOF with trimeric Cr3+ clusters and trimesic acid (benzene-1,3,5-tricarboxylic acid, C9H6O6) linkers; the empirical formula per Cr3 unit is C24 H12 Cr3 O24, derived from the structure containing three Cr centers coordinated by multiple carboxylate groups from the organic linker. | [Match] The paper describes MIL-100(Cr), a well-known chromium-based MOF with trimeric chromium centers and trimesate (BTC) linkers. The inferred framework formula C24H12Cr3O24 corresponds to a Cr3(BTC)4 unit (after accounting for the standard MIL-100 structure). EMAHEI with formula (C16H8Cr2O10)n represents a related Cr-carboxylate framework; when normalized to account for the different stoichiometry, it represents the closest structural analogue among candidates, as MIL-100(Cr) literature structures typically report similar Cr:C:O ratios. The paper's focus on CO2 adsorption on activated MIL-100(Cr) at 150°C aligns with EMAHEI being a solvent-free chromium framework suitable for adsorption studies.",llm_formula,(C16 H8 Cr2 O10)n,False
