nist_name,nist_hashkey,doi,paper_title,inferred_formula,csd_identifier,match_confidence,inference_confidence,reasoning,source,csd_formula,has_disorder
CGUC-0.5-6,NIST-MATDB-06d1ff3ad689defe72c7ca7d38f20302,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
JUC-569,NIST-MATDB-0ae1d3f7faba9b2cff1a6a3c75969fc7,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
MOF-235,NIST-MATDB-0f20a425dee706181efa4f16ee04d4dd,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
JUC-568,NIST-MATDB-0f2d4c21372cb95de54da9394e8c7523,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
IFP-1,NIST-MATDB-250f71e77e94593e6e5b0ff516bf35fc,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
IFP-7,NIST-MATDB-56514a6199a2ce53fc3b4acafef4d3c0,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
CID-6,NIST-MATDB-6f8faf90a064fc80f3d14ecbf2b2827d,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
IFP-6,NIST-MATDB-757e083bd4519b0600923bdfe2a89432,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
DATPIM,NIST-MATDB-8b5bb23b7f541f7e0b45123d40a1f92e,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
CID-5/6,NIST-MATDB-908f4b2f9675c1eb4abe63b937c38c2f,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
IFP-2,NIST-MATDB-9cf0eed0d37bb03d1c01fb61e843146d,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
JUC-506,NIST-MATDB-c2b5d87b4072e605416be9f1f4ba0712,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
PKU-17,NIST-MATDB-c7cd24c3054ed101925efb252b6d2449,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
IFP-3,NIST-MATDB-e2fe5e4435ba5ba0dafc424ee5fd5a1f,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
JUC-505,NIST-MATDB-f1902ca926ea66cb5f819b7766269096,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
IFP-4,NIST-MATDB-fc8e6b6eceda03b926e9e91b738e16f4,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
