nist_name,nist_hashkey,csd_identifier,doi,formula_x,has_disorder_x,formula_y,has_disorder_y
((Me2NH2)In(NH2BDC)2),NIST-MATDB-895aa514507d242d5062b7a2742cea92,XALROT,10.1039/c2cc16923a,(C16 H10 In1 N2 O8)n,True,(C16 H10 In1 N2 O8)n,True
(Et2NH2)3[(Cu4Cl)3(TTCA)8],NIST-MATDB-698d87ea3dc222af53aca3746f3227d3,REGYOT,10.1039/c2cc35461f,"(C168 H72 Cl3 Cu12 O48 3-)n,26n(C5 H11 N1 O1),3n(C4 H12 N1 1+)",True,"(C168 H72 Cl3 Cu12 O48 3-)n,26n(C5 H11 N1 O1),3n(C4 H12 N1 1+)",True
(H3O)4[Ni6(pi3-O)2(pi2-OSC2H6)2(SO4)2(TATB)8/3].4C2H6O.13H2O,NIST-MATDB-ee36b2a9095ec91288836a44edfdc823,UGODEB,10.1021/acs.inorgchem.5b00316,"(C102 H66 N12 Ni9 O42 S6 6-)n,6n(H3 O1 1+),6n(C2 H6 O1),19.5n(H2 O1)",True,"(C102 H66 N12 Ni9 O42 S6 6-)n,6n(H3 O1 1+),6n(C2 H6 O1),19.5n(H2 O1)",True
(In3O)(OH)(ADC)2(IN)2*4.67H2O,NIST-MATDB-e0f1ea383b8b290ca83fb4c214ff9cf0,KACZEV,10.1039/c0cc02808h,"(C120 H75 In9 N18 O42)n,14n(H2 O1)",True,"(C120 H75 In9 N18 O42)n,14n(H2 O1)",True
(In3O)(OH)(ADC)2(IN)2*4.67H2O,NIST-MATDB-e0f1ea383b8b290ca83fb4c214ff9cf0,KACZIZ,10.1039/c0cc02808h,"(C120 H81 In9 N24 O42)n,8n(H2 O1)",True,"(C120 H81 In9 N24 O42)n,8n(H2 O1)",True
(Me2NH2)2(DMF)9(H2O)5,NIST-MATDB-0fc6fe0e88747d6206743f79868a947c,DEYMOL,10.1021/ic302583a,"(C37 H20 In2 O20 2-)n,2n(C2 H8 N1 1+),9n(C3 H7 N1 O1),5n(H2 O1)",True,"(C37 H20 In2 O20 2-)n,2n(C2 H8 N1 1+),9n(C3 H7 N1 O1),5n(H2 O1)",True
(NH2(CH3)2)3[Zn6(BTC)4(BTB)],NIST-MATDB-1e1291030fcd194b53599b4d457548d1,SIJDUM,10.1039/c3ce40929e,"(C63 H27 O30 Zn6 3-)n,3n(C2 H8 N1 1+)",True,"(C63 H27 O30 Zn6 3-)n,3n(C2 H8 N1 1+)",True
"2,4,6-tris-(4-carboxyphenoxy)-1,3,5-triazine (H3tcpt)",NIST-MATDB-9e095580c7def92493b44834013f53af,RUSCUF,10.1039/c5dt01770j,(C24 H13 N3 O10 Zn2)n,True,(C24 H13 N3 O10 Zn2)n,True
3Inf[(Cu(mu4-O)(mu2-OH)2(Me2trzpba)4],NIST-MATDB-eac31584ad49217cba58bde85c79de24,MALFUD,10.1016/j.micromeso.2010.11.017,"(C44 H42 Cu4 N12 O11)n,10n(H2 O1)",True,"(C44 H42 Cu4 N12 O11)n,10n(H2 O1)",True
467-MOF,NIST-MATDB-4c5fc9ec0f07f55545f660abeabc296d,YUQDUL,10.1002/chem.201502615,(C54 H33 Al3 O21)n,True,(C54 H33 Al3 O21)n,True
