input,output,status,stderr
BAHGUN02.cif,BAHGUN02_P1.cif,ok,
BUSQIQ.cif,BUSQIQ_P1.cif,ok,
ECIWUJ.cif,ECIWUJ_P1.cif,ok,
ESIPUR.cif,ESIPUR_P1.cif,ok,
EWUCOP.cif,EWUCOP_P1.cif,ok,
GATHAL.cif,GATHAL_P1.cif,ok,
GUPLEJ.cif,GUPLEJ_P1.cif,ok,
HEBZAR.cif,HEBZAR_P1.cif,ok,
HEBZEV.cif,HEBZEV_P1.cif,ok,
HESVOR.cif,HESVOR_P1.cif,ok,
HOWRAO.cif,HOWRAO_P1.cif,ok,
IVAPON.cif,IVAPON_P1.cif,ok,
IVEQEG01.cif,IVEQEG01_P1.cif,ok,
JOFCEO01.cif,JOFCEO01_P1.cif,ok,
KETHEY02.cif,KETHEY02_P1.cif,ok,
KINGUM.cif,KINGUM_P1.cif,ok,
LOMNOS.cif,LOMNOS_P1.cif,ok,
MARNOK.cif,MARNOK_P1.cif,ok,
MIHHAN.cif,MIHHAN_P1.cif,ok,
MOBDIR.cif,MOBDIR_P1.cif,ok,
MOFGOE.cif,MOFGOE_P1.cif,ok,
QARCET.cif,QARCET_P1.cif,ok,
REBWUQ.cif,REBWUQ_P1.cif,ok,
REBZIH.cif,REBZIH_P1.cif,ok,
RECMAN.cif,RECMAN_P1.cif,ok,
UFIREI.cif,UFIREI_P1.cif,ok,
WARQOX.cif,WARQOX_P1.cif,ok,
WEBREC.cif,WEBREC_P1.cif,ok,
XOJCEF.cif,XOJCEF_P1.cif,ok,
XOJCOP.cif,XOJCOP_P1.cif,ok,
XOMCOT.cif,XOMCOT_P1.cif,ok,
YUSHUQ.cif,YUSHUQ_P1.cif,ok,
YUSJEC.cif,YUSJEC_P1.cif,ok,
