filename,status,adsorptionUnits_orig,pressureUnits_orig,ads_factor,pres_factor,coherence_fixes
10.1002adfm.201101479.Isotherm32,processed,mmol/g,bar,0.6233248145608677,1.0,
10.1002adma.200601983.Isotherm7,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002aic.15837.Isotherm11,processed,mmol/g,bar,1.0,1.0,
10.1002anie.200502553.Isotherm2,processed,mmol/g,bar,1.0,1.0,
10.1002anie.200904599.isotherm4,processed,mmol/g,bar,62.33248145608677,1.0,
10.1002anie.201101957.Isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002anie.201302715.isotherm3,processed,mmol/g,bar,1.0,1.0,
10.1002anie.201302715.isotherm4,processed,mmol/g,bar,1.0,1.0,
10.1002anie.201506345.Isotherm18,processed,mmol/g,bar,1.0,1.0,
10.1002anie.201506345.Isotherm22,processed,mmol/g,bar,1.0,1.0,
10.1002anie.201607745.Isotherm13,processed,mmol/g,bar,1.0,1.0,
10.1002asia.201200601.isotherm5,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002asia.201500234.Isotherm14,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002asia.201500234.Isotherm15,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002asia.201500234.Isotherm16,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002asia.201500234.Isotherm17,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002ceat.201300046.Isotherm20,processed,mmol/g,bar,1.0,1.0,
10.1002ceat.201400741.Isotherm3,processed,mmol/g,bar,1.0,1.0,
10.1002chem.200601534.Isotherm5,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.200801048.isotherm5,processed,mmol/g,bar,1.0,1.0,
10.1002chem.200801048.isotherm6,processed,mmol/g,bar,1.0,1.0,
10.1002chem.200801064.Isotherm9,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.200902346.isotherm2,processed,mmol/g,bar,1.0,1.0,
10.1002chem.201001549.Isotherm10,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201001549.Isotherm11,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201002135.Isotherm10,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201002135.Isotherm18,processed,mmol/g,bar,0.6233248145608677,1.0,
10.1002chem.201003376.Isotherm19,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201100350.isotherm10,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201100350.isotherm6,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201101383.Isotherm9,processed,mmol/g,bar,1.0,1.0,
10.1002chem.201101733.Isotherm1,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201102734.Isotherm25,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201102734.Isotherm29,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201103687.isotherm6,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201200456.Isotherm23,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201200456.Isotherm25,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201202352.Isotherm12,processed,mmol/g,bar,1.0,1.0,
10.1002chem.201203297.Isotherm8,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201203487.isotherm6,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201303086.Isotherm11,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201303086.Isotherm12,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201303086.Isotherm15,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201303086.Isotherm16,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201405168.Isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201405168.Isotherm5,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201406323.Isotherm12,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201502615.Isotherm15,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201502615.Isotherm21,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002chem.201502893.Isotherm5,processed,mmol/g,bar,1.0,1.0,
10.1002chem.201502893.Isotherm9,processed,mmol/g,bar,1.0,1.0,
10.1002chem.201503163.Isotherm6,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002cplu.201500104.Isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002cplu.201500104.Isotherm5,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002cplu.201500278.Isotherm4,processed,mmol/g,bar,1.0,1.0,
10.1002ejic.201000349.isotherm6,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1002zaac.200700580.Isotherm1,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1007s10450-013-9564-x.isotherm4,processed,mmol/g,bar,1.0,1.0,
10.1007s10450-013-9564-x.isotherm5,processed,mmol/g,bar,1.0,1.0,
10.1007s1045001395272.Isotherm51,processed,mmol/g,bar,1.0,1.0,
10.1007s1045001596846.Isotherm9,processed,mmol/g,bar,1.0,1.0,
10.1007s1045001698256.Isotherm11,processed,mmol/g,bar,1.0,1.0,
10.1007s10450020002829.Isotherm13,processed,mmol/g,bar,1.0,1.0,
10.1007s10450020002829.Isotherm14,processed,mmol/g,bar,1.0,1.0,
10.1007s10450020002829.Isotherm15,processed,mmol/g,bar,1.0,1.0,
10.1007s10450020002829.Isotherm17,processed,mmol/g,bar,1.0,1.0,
10.1007s10934-010-9378-0.Isotherm5,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1007s1093401500604.Isotherm23,processed,mmol/g,bar,1.0,1.0,
10.1007s1093401500604.Isotherm24,processed,mmol/g,bar,1.0,1.0,
10.1016j.cej.2012.04.071.isotherm13,processed,mmol/g,bar,1.0,1.0,
10.1016j.cej.2012.04.071.isotherm5,processed,mmol/g,bar,1.0,1.0,
10.1016j.cej.2012.04.071.isotherm9,processed,mmol/g,bar,1.0,1.0,
10.1016j.cej.2015.02.088.Isotherm12,processed,mmol/g,bar,0.6233248145608677,1.0,
10.1016j.cej.2015.02.088.Isotherm13,processed,mmol/g,bar,0.6233248145608677,1.0,
10.1016j.cej.2017.06.141.Isotherm3,processed,mmol/g,bar,1.0,1.0,
10.1016j.ces.2014.10.028.Isotherm5,processed,mmol/g,bar,1.0,1.0,
10.1016j.ces.2019.115355.Isotherm3,processed,mmol/g,bar,1.0,1.0,
10.1016j.crci.2012.09.001.isotherm5a,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.crci.2012.09.001.isotherm5b,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.crci.2012.09.001.isotherm5c,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.crci.2012.09.001.isotherm5d,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.fluid.2014.08.020.Isotherm10,processed,mmol/g,bar,0.06233248145608677,1.0,
10.1016j.fluid.2014.08.020.Isotherm2,processed,mmol/g,bar,0.06233248145608677,1.0,
10.1016j.fluid.2014.08.020.Isotherm6,processed,mmol/g,bar,0.06233248145608677,1.0,
10.1016j.fluid.2014.08.020.Isotherm7,processed,mmol/g,bar,0.06233248145608677,1.0,
10.1016j.ica.2015.03.011.Isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.ijhydene.2011.05.187.isotherm11,processed,mmol/g,bar,0.6233248145608677,1.0,
10.1016j.ijhydene.2011.05.187.isotherm12,processed,mmol/g,bar,0.6233248145608677,1.0,
10.1016j.ijhydene.2013.02.074.isotherm6,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.inoche.2015.11.001.Isotherm12,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.inoche.2015.11.001.Isotherm8,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.jcis.2009.03.020.isotherm13,processed,mmol/g,bar,0.06233248145608677,1.0,
10.1016j.jcis.2011.01.103.isotherm11,processed,mmol/g,bar,1.0,1.0,
10.1016j.jcis.2011.01.103.isotherm7,processed,mmol/g,bar,1.0,1.0,
10.1016j.jcis.2011.01.103.isotherm9,processed,mmol/g,bar,1.0,1.0,
10.1016j.jcis.2011.09.060.isotherm4,processed,mmol/g,bar,1.0,1.0,
10.1016j.jcis.2011.09.060.isotherm6,processed,mmol/g,bar,1.0,1.0,
10.1016j.jiec.2009.09.043.Isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.jiec.2009.09.043.Isotherm5,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.jiec.2009.09.043.Isotherm6,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.jssc.2014.03.005.Isotherm5,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.jssc.2014.03.005.Isotherm6,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.memsci.2012.04.003.Isotherm10,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.memsci.2012.04.003.Isotherm8,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.micromeso.2010.11.017.Isotherm14,processed,mmol/g,bar,1.0,1.0,
10.1016j.micromeso.2011.09.004.Isotherm5,processed,mmol/g,bar,1.0,1.0,
10.1016j.micromeso.2011.09.006.isotherm5,processed,mmol/g,bar,0.0446149727848666,1.0,P/100
10.1016j.micromeso.2011.09.017.Isotherm16,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.micromeso.2011.10.020.Isotherm4,processed,mmol/g,bar,1.0,1.0,
10.1016j.micromeso.2011.12.001.Isotherm7,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.micromeso.2012.01.008.Isotherm10,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.micromeso.2012.01.008.Isotherm12,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.micromeso.2012.01.008.Isotherm2,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.micromeso.2012.01.008.Isotherm6,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.micromeso.2013.09.006.Isotherm8,processed,mmol/g,bar,1.0,1.0,
10.1016j.micromeso.2014.09.038.Isotherm9,processed,mmol/g,bar,1.0,1.0,
10.1016j.micromeso.2015.05.036.Isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.micromeso.2015.05.036.Isotherm7,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1016j.micromeso.2016.01.030.Isotherm18,processed,mmol/g,bar,1.0,1.0,
10.1016j.seppur.2011.09.041.isotherm7,processed,mmol/g,bar,1.0,1.0,
10.1016j.seppur.2011.09.041.isotherm8,processed,mmol/g,bar,1.0,1.0,
10.1016j.seppur.2015.03.041.Isotherm5,processed,mmol/g,bar,1.0,1.0,
10.1016j.seppur.2018.01.013.Isotherm14,processed,mmol/g,bar,1.0,1.0,
10.1016j.seppur.2019.115850.Isotherm5,processed,mmol/g,bar,1.0,1.0,
10.1021acs.cgd.5b00473.Isotherm1,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021acs.iecr.5b03517.Isotherm10,processed,mmol/g,bar,1.0,1.0,
10.1021acs.iecr.5b04061.Isotherm13,processed,mmol/g,bar,1.0,1.0,
10.1021acs.iecr.5b04061.Isotherm14,processed,mmol/g,bar,1.0,1.0,
10.1021acs.iecr.5b04061.Isotherm15,processed,mmol/g,bar,1.0,1.0,
10.1021acs.iecr.5b04061.Isotherm16,processed,mmol/g,bar,1.0,1.0,
10.1021acs.iecr.5b04061.Isotherm17,processed,mmol/g,bar,1.0,1.0,
10.1021acs.iecr.5b04061.Isotherm18,processed,mmol/g,bar,1.0,1.0,
10.1021acs.iecr.5b04061.Isotherm19,processed,mmol/g,bar,1.0,1.0,
10.1021acs.iecr.5b04061.Isotherm20,processed,mmol/g,bar,1.0,1.0,
10.1021acs.iecr.7b03341.Isotherm20,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021acs.iecr.7b03341.Isotherm39,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021acs.iecr.7b03341.Isotherm42,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021acs.iecr.7b03341.Isotherm45,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021acs.iecr.7b03341.Isotherm48,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021acs.inorgchem.5b00316.Isotherm10,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021acs.inorgchem.5b00316.Isotherm11,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021acs.inorgchem.5b00561.Isotherm10,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021acs.inorgchem.5b00561.Isotherm11,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021acs.inorgchem.5b01232.Isotherm1,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021acs.jced.1c00787.Isotherm1,processed,mmol/g,bar,1.0,1.0,
10.1021acs.jced.1c00787.Isotherm3,processed,mmol/g,bar,1.0,1.0,
10.1021acs.jced.1c00787.Isotherm7,processed,mmol/g,bar,1.0,1.0,
10.1021acs.jced.1c00951.Isotherm12,processed,mmol/g,bar,1.0,1.0,
10.1021acs.jced.1c00951.Isotherm13,processed,mmol/g,bar,1.0,1.0,
10.1021acs.jced.9b00770.Isotherm6,processed,mmol/g,bar,1.0,1.0,
10.1021acs.jced.9b00770.Isotherm9,processed,mmol/g,bar,1.0,1.0,
10.1021acs.jpcc.6b10751.Isotherm7,processed,mmol/g,bar,1.0,1.0,
10.1021acs.jpcc.6b10751.Isotherm9,processed,mmol/g,bar,1.0,1.0,
10.1021acs.langmuir.5b00655.Isotherm17,processed,mmol/g,bar,1.0,1.0,
10.1021acsami.5b07953.Isotherm15,processed,mmol/g,bar,1.0,1.0,
10.1021acssuschemeng.7b02087.Isotherm4,processed,mmol/g,bar,1.0,1.0,
10.1021acssuschemeng.7b02087.Isotherm7,processed,mmol/g,bar,1.0,1.0,
10.1021am506793b.Isotherm4,processed,mmol/g,bar,1.0,1.0,
10.1021Cg101222w.Isotherm3,processed,mmol/g,bar,0.6233248145608677,1.0,
10.1021Cg200043a.isotherm6,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021cg201594p.Isotherm2,processed,mmol/g,bar,1.0,1.0,
10.1021Cg3001009.isotherm5,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Cg3001009.isotherm6,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Cg400096e.isotherm3,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Cg4004438.isotherm5,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Cg4004438.isotherm8,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Cg400948e.isotherm5,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Cg500235j.Isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Cg500235j.Isotherm8,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Cg500269h.Isotherm3,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Cg500269h.Isotherm8,processed,mmol/g,bar,1.0,1.0,
10.1021cg501690b.Isotherm9,processed,mmol/g,bar,1.0,1.0,
10.1021cg501758a.Isotherm3,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Cg900797y.isotherm3,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Cg900797y.isotherm6,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Cg9014948.isotherm3,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Cg9014948.isotherm6,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Cm301322b.Isotherm5,processed,mmol/g,bar,1.0,1.0,
10.1021Cm4020942.isotherm4,processed,mmol/g,bar,1.0,1.0,
10.1021Cm502189c.Isotherm2,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Cm9023106.Isotherm7,processed,mmol/g,bar,1.0,1.0,
10.1021Cm990612m.isotherm1,processed,mmol/g,bar,1.0,1.0,
10.1021Cm990612m.isotherm2,processed,mmol/g,bar,1.0,1.0,
10.1021Cm990612m.isotherm3,processed,mmol/g,bar,1.0,1.0,
10.1021Ic0611948.Isotherm6,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ic1010083.Isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ic1010083.Isotherm7,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ic1012523.Isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ic1017467.Isotherm10,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ic1017467.Isotherm11,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ic102347b.isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ic2015463.isotherm6,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ic2021275.Isotherm5,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ic2021275.Isotherm8,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ic300778m.Isotherm7,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ic300950h.Isotherm6,processed,mmol/g,bar,1.0,1.0,
10.1021Ic301338a.Isotherm6,processed,mmol/g,bar,1.0,1.0,
10.1021Ic3015207.Isotherm10,processed,mmol/g,bar,1.0,1.0,
10.1021Ic3015207.Isotherm11,processed,mmol/g,bar,1.0,1.0,
10.1021Ic3015207.Isotherm12,processed,mmol/g,bar,1.0,1.0,
10.1021Ic301598n.isotherm8,processed,mmol/g,bar,1.0,1.0,
10.1021Ic301598n.isotherm9,processed,mmol/g,bar,1.0,1.0,
10.1021Ic3019937.isotherm7,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ic3019937.isotherm8,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ic302127y.isotherm6,processed,mmol/g,bar,1.0,1.0,
10.1021Ic302583a.isotherm13,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ic302583a.isotherm14,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ic3026304.isotherm3,processed,mmol/g,bar,1.0,1.0,
10.1021Ic3026304.isotherm4,processed,mmol/g,bar,1.0,1.0,
10.1021Ic4020256.Isotherm10,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021ic402481b.Isotherm5,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021ic402481b.Isotherm8,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ic501413r.Isotherm6,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ic501876m.Isotherm5,processed,mmol/g,bar,1.0,1.0,
10.1021ic502116k.Isotherm10,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021ic502116k.Isotherm7,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ic900486r.Isotherm10,processed,mmol/g,bar,0.6233248145608677,1.0,
