name,hashkey,DOI,DOIs,Temperatures,synonyms
SDU-8,NIST-MATDB-03645c4b39bf449dbc22ac8d02c59f8b,10.1021/Ic3015207,['10.1021/Ic3015207'],[298],[]
[Co(2)(pyridine)2(H2O)],NIST-MATDB-002415bcd538b26626f2f03e5443f598,10.1039/B927499e,['10.1039/B927499e'],[298],[]
Sc2(O2CC6H4CO2)3,NIST-MATDB-037ff1609709c4b70a21b7d9134c22bc,10.1021/La803788u,['10.1021/La803788u'],[304],[]
Co14-MOF-74,NIST-MATDB-03a2cf256d5249e805e75781cdf72a57,10.1016/j.ijhydene.2011.05.187,['10.1016/j.ijhydene.2011.05.187'],[273],[]
opt-UiO-66(Zr)-(OH)2,NIST-MATDB-04952328cf3644b315eaf3f178d01e30,10.1002/aic.15837,['10.1002/aic.15837'],[298],[]
NOTT-102a,NIST-MATDB-057c4e880a99e188b6631fbf7739748b,10.1039/C3ee41166d,['10.1039/C3ee41166d'],[300],[]
MIL-53-TDC,NIST-MATDB-0660171cf8b850580851526a5bb7e0a0,10.1007/s10450-020-00282-9,['10.1007/s10450-020-00282-9'],[298],[]
CGUC-0.5-6,NIST-MATDB-06d1ff3ad689defe72c7ca7d38f20302,10.1016/j.cej.2019.121931,['10.1016/j.cej.2019.121931'],[298],[]
MOF-1C',NIST-MATDB-07af26bd81573554d0dfd228787e3e50,10.1016/j.micromeso.2010.10.048,['10.1016/j.micromeso.2010.10.048'],[298],[]
Zn(Im)1.25(5-ClbIM)0.75,NIST-MATDB-09de4ab275dd446651a68a5312b87ab0,10.1016/j.micromeso.2011.12.009,['10.1016/j.micromeso.2011.12.009'],[303],[]
JUC-569,NIST-MATDB-0ae1d3f7faba9b2cff1a6a3c75969fc7,10.1021/jacs.0c12499,['10.1021/jacs.0c12499'],"[273, 298]",[]
MOF-235,NIST-MATDB-0f20a425dee706181efa4f16ee04d4dd,10.1016/j.jiec.2012.01.014,['10.1016/j.jiec.2012.01.014'],[298],[]
JUC-568,NIST-MATDB-0f2d4c21372cb95de54da9394e8c7523,10.1021/jacs.0c12499,['10.1021/jacs.0c12499'],"[273, 298]",[]
UiO-66-NO2-(OH)2,NIST-MATDB-0fb9cd90a3c285e3e9bd8d5ec4aa1e84,10.1021/acs.iecr.5b04061,['10.1021/acs.iecr.5b04061'],"[273, 298]",[]
Pd(2-pymo)2,NIST-MATDB-1160f796e3757da168da2a16cf578ce9,10.1007/s10934-015-0060-4,['10.1007/s10934-015-0060-4'],[298],[]
NJU-Bai12,NIST-MATDB-12b0f5d8ac54f1f4864b9e37d09149b5,10.1021/Ic301598n,['10.1021/Ic301598n'],"[273, 298]",[]
MOF-200,NIST-MATDB-139fa76b34e8599641ff3814365cf4b4,10.1016/j.fluid.2014.08.020,['10.1016/j.fluid.2014.08.020'],[298],[]
NUS-2,NIST-MATDB-17360bf8f80d66dd50125f96d013a07e,10.1021/acs.chemmater.5b02902,['10.1021/acs.chemmater.5b02902'],"[273, 298]",[]
"MIL-100(Cr), activated at 150C",NIST-MATDB-1828349e1f83f7d61cc57a976e0cbd28,10.1021/acs.jced.9b00770,['10.1021/acs.jced.9b00770'],[298],[]
UiO-66(Zr)-(COOH)2 (473K),NIST-MATDB-184cb6ae0f79e0eb5a697b2cb877b943,10.1039/c4ta03992k,['10.1039/c4ta03992k'],[303],[]
tbo-MOF-2,NIST-MATDB-19f0b99c8dbe789defa47a66736fe641,10.1039/C4ra12432d,['10.1039/C4ra12432d'],[298],[]
NU-125-F1,NIST-MATDB-1b640cdaf885a25b91b8daa3c3416e79,10.1021/Ic500722n,['10.1021/Ic500722n'],[298],[]
ZnBuBPDC,NIST-MATDB-1ce14eb3e9cae7c5664342ced717c6d0,10.1016/j.micromeso.2014.03.022,['10.1016/j.micromeso.2014.03.022'],"[273, 293, 313]",[]
Co21-MOF-5,NIST-MATDB-1d7283de5a7f43b960a5dd98d52ee542,10.1016/j.ijhydene.2011.05.187,['10.1016/j.ijhydene.2011.05.187'],[273],[]
Fe2(dobdc),NIST-MATDB-1e93bd0672ca0c9d104d64b9ac6b00a2,10.1016/j.jssc.2014.03.005,['10.1016/j.jssc.2014.03.005'],[298],[]
Ni-PTC,NIST-MATDB-208b146cc6b69203bfb3949d6fa87837,10.1021/Cm301726k,['10.1021/Cm301726k'],[273],[]
CAU-10-5-CH3,NIST-MATDB-22ea25f5cb6fefcb6c24f3af0c435847,10.1007/s10450-020-00282-9,['10.1007/s10450-020-00282-9'],[298],[]
IFP-1,NIST-MATDB-250f71e77e94593e6e5b0ff516bf35fc,10.1039/c2jm15811f,['10.1039/c2jm15811f'],[273],[]
Zn4O (rho=300kg/m^3),NIST-MATDB-25d294b7f85566e0a4522bc95245bbf8,10.1007/s10450-014-9620-1,['10.1007/s10450-014-9620-1'],[298],[]
